word,count,in_allowed_objects
거울,1,True
기계,1,False
문고리,1,False
손잡이,1,False
병,1,True
장갑,1,True
마스크,1,True
하단,1,False
100%,1,False
영어독서지도사,1,False
오토바이,1,True
인도,1,False
자격증,1,False
차량,1,False
장학지원,1,False
국민교육복지센터,1,False
실버과정,1,False
프로젝트,1,False
한국자격증협회,1,False
심리과정,1,False
수강료,1,False
전문가과정,1,False
합격자,1,False
병원과정,1,False
생활지원사,1,False
인기,1,False
응시료,1,False
HIT,1,False
유망자격증,1,False
가로등,1,True
시계,1,True
또,1,False
터틀넥,1,False
남성,1,False
헤어드라이어,1,True
다이슨,1,False
드라이기,1,False
채소,1,False
조리대,1,False
버섯,1,True
양념,1,False
주방도구,1,False
마늘,1,True
파,1,False
선반,1,False
양파,1,True
소고기,1,False
프라이팬,1,False
국물,1,False
고추,1,True
대파,1,True
가스레인지,1,True
냄비,1,True
우유통,1,False
프룻루프스,1,False
자동차,1,True
흰색옷,1,False
주방조명,1,False
음료,1,False
종이봉투,1,False
그림,1,False
테이블,1,False
조명,1,False
갈색머리,1,False
투명용기,1,False
시리얼,1,False
남자,1,False
캐비닛,1,False
나침반,1,False
컵,1,True
택시,1,False
진행률 바,1,False
코드,1,False
우버,1,False
파일,1,False
시작버튼,1,False
마우스 커서,1,False
프로모션,1,False
택시 이미지,1,False
시간 표시줄,1,False
어도비,1,False
바탕화면,1,False
혜택 메시지,1,False
메시지창,1,False
폴더,1,True
반값,1,False
시작 버튼,1,False
바탕화면배경,1,False
유의사항,1,False
메신저,1,False
프로그램 창,1,False
적용,1,False
젓가락,1,True
그릇,1,False
계란,1,False
튀김,1,False
돈까스,1,False
냉장고,1,True
해결,1,False
남은칼로리,1,False
면,1,False
음식,1,False
남은 칼로리,1,False
맛있게,1,False
쫄면,1,False
포크,1,True
남색티셔츠,1,False
물건,1,False
글씨체,1,False
만화,1,False
머리카락,1,False
색상,1,False
MZ,1,False
얼굴,1,False
이어폰,1,True
피크타임,1,False
부제목,1,False
여자,1,False
계산기,1,True
추천알바,1,False
상품,1,False
알바앱,1,False
맞는,1,False
동네알바,1,False
글씨,1,True
INFP,1,False
MBTI,1,False
계산대,1,False
지금,1,False
편의점,1,False
내게,1,False
라라25,1,False
모니터,1,True
보건증,1,False
지나감,1,False
숨어서,1,False
직원,1,False
볼까,1,False
편,1,False
모집,1,False
3cm,1,False
우당탕탕,1,False
공감,1,False
발급,1,False
가운,1,False
알바생,1,False
물체들,1,False
갈색 끈,1,False
팬,1,False
목걸이,1,True
검은색 상의,1,False
금속 버튼,1,False
